"REF_DATE","GEO","DGUID","Prices","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Mining, quarrying, and oil and gas extraction [21]","Dollars","81","millions","6","v1793288243","10.1.28","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Mining, quarrying, and oil and gas extraction [21]","Dollars","81","millions","6","v1793288243","10.1.28","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Utilities [22]","Dollars","81","millions","6","v1793288263","10.1.48","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Utilities [22]","Dollars","81","millions","6","v1793288263","10.1.48","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v1793288267","10.1.52","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Construction [23]","Dollars","81","millions","6","v1793288267","10.1.52","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v1793288331","10.1.57","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Manufacturing [31-33]","Dollars","81","millions","6","v1793288331","10.1.57","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Wholesale trade [41]","Dollars","81","millions","6","v1793288332","10.1.117","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Wholesale trade [41]","Dollars","81","millions","6","v1793288332","10.1.117","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Retail trade [44-45]","Dollars","81","millions","6","v1793288370","10.1.127","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Retail trade [44-45]","Dollars","81","millions","6","v1793288370","10.1.127","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v1793288372","10.1.141","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Transportation and warehousing [48-49]","Dollars","81","millions","6","v1793288372","10.1.141","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Information and cultural industries [51]","Dollars","81","millions","6","v1793288373","10.1.158","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Information and cultural industries [51]","Dollars","81","millions","6","v1793288373","10.1.158","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Finance and insurance [52]","Dollars","81","millions","6","v1793288387","10.1.172","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Finance and insurance [52]","Dollars","81","millions","6","v1793288387","10.1.172","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Real estate and rental and leasing [53]","Dollars","81","millions","6","v1793288396","10.1.181","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Real estate and rental and leasing [53]","Dollars","81","millions","6","v1793288396","10.1.181","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Professional, scientific and technical services [54]","Dollars","81","millions","6","v1793288406","10.1.191","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Professional, scientific and technical services [54]","Dollars","81","millions","6","v1793288406","10.1.191","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Educational services [61]","Dollars","81","millions","6","v1793288430","10.1.215","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Educational services [61]","Dollars","81","millions","6","v1793288430","10.1.215","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Health care and social assistance [62]","Dollars","81","millions","6","v1793288435","10.1.220","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Health care and social assistance [62]","Dollars","81","millions","6","v1793288435","10.1.220","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Accommodation and food services [72]","Dollars","81","millions","6","v1793288446","10.1.231","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Accommodation and food services [72]","Dollars","81","millions","6","v1793288446","10.1.231","","..","","","1"
"2023","British Columbia","2021A000259","Current dollars","Public administration [91]","Dollars","81","millions","6","v1793288456","10.1.241","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","Public administration [91]","Dollars","81","millions","6","v1793288456","10.1.241","","..","","","1"


