"REF_DATE","GEO","DGUID","Geography, importing","Prices","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Natural gas [ENE211102]","Canadian dollars","47","thousands","3","v1775384406","1.10.1.1","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Natural gas [ENE211102]","Canadian dollars","47","thousands","3","v1775384406","1.10.1.1","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Natural gas [ENE211102]","Canadian dollars","47","thousands","3","v1775384406","1.10.1.1","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Crude and diluted bitumen [ENE211104]","Canadian dollars","47","thousands","3","v1775384798","1.10.1.2","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Crude and diluted bitumen [ENE211104]","Canadian dollars","47","thousands","3","v1775384798","1.10.1.2","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Crude and diluted bitumen [ENE211104]","Canadian dollars","47","thousands","3","v1775384798","1.10.1.2","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Synthetic crude oil [ENE211106]","Canadian dollars","47","thousands","3","v1775385190","1.10.1.3","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Synthetic crude oil [ENE211106]","Canadian dollars","47","thousands","3","v1775385190","1.10.1.3","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Synthetic crude oil [ENE211106]","Canadian dollars","47","thousands","3","v1775385190","1.10.1.3","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Conventional crude oil [ENE211107]","Canadian dollars","47","thousands","3","v1775385582","1.10.1.4","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Conventional crude oil [ENE211107]","Canadian dollars","47","thousands","3","v1775385582","1.10.1.4","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Conventional crude oil [ENE211107]","Canadian dollars","47","thousands","3","v1775385582","1.10.1.4","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Natural gas liquids (including condensate) and related products [ENE211108]","Canadian dollars","47","thousands","3","v1775385974","1.10.1.5","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Natural gas liquids (including condensate) and related products [ENE211108]","Canadian dollars","47","thousands","3","v1775385974","1.10.1.5","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Natural gas liquids (including condensate) and related products [ENE211108]","Canadian dollars","47","thousands","3","v1775385974","1.10.1.5","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Coal [ENE212100]","Canadian dollars","47","thousands","3","v1775386366","1.10.1.6","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Coal [ENE212100]","Canadian dollars","47","thousands","3","v1775386366","1.10.1.6","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Coal [ENE212100]","Canadian dollars","47","thousands","3","v1775386366","1.10.1.6","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Electricity [ENE221100]","Canadian dollars","47","thousands","3","v1775386758","1.10.1.7","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Electricity [ENE221100]","Canadian dollars","47","thousands","3","v1775386758","1.10.1.7","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Electricity [ENE221100]","Canadian dollars","47","thousands","3","v1775386758","1.10.1.7","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Steam and heated or cooled air or water [ENE221303]","Canadian dollars","47","thousands","3","v1775387150","1.10.1.8","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Steam and heated or cooled air or water [ENE221303]","Canadian dollars","47","thousands","3","v1775387150","1.10.1.8","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Steam and heated or cooled air or water [ENE221303]","Canadian dollars","47","thousands","3","v1775387150","1.10.1.8","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Motor gasoline (including blending components and ethanol fuel) [ENE324111]","Canadian dollars","47","thousands","3","v1775387542","1.10.1.9","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Motor gasoline (including blending components and ethanol fuel) [ENE324111]","Canadian dollars","47","thousands","3","v1775387542","1.10.1.9","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Motor gasoline (including blending components and ethanol fuel) [ENE324111]","Canadian dollars","47","thousands","3","v1775387542","1.10.1.9","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Diesel and biodiesel fuels [ENE324112]","Canadian dollars","47","thousands","3","v1775387934","1.10.1.10","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Diesel and biodiesel fuels [ENE324112]","Canadian dollars","47","thousands","3","v1775387934","1.10.1.10","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Diesel and biodiesel fuels [ENE324112]","Canadian dollars","47","thousands","3","v1775387934","1.10.1.10","0","","","","0"
"2022","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Light fuel oils [ENE324113]","Canadian dollars","47","thousands","3","v1775388326","1.10.1.11","0","","","","0"
"2023","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Light fuel oils [ENE324113]","Canadian dollars","47","thousands","3","v1775388326","1.10.1.11","0","","","","0"
"2024","Newfoundland and Labrador, exporting","2021A000210","British Columbia, importing","Current prices","Light fuel oils [ENE324113]","Canadian dollars","47","thousands","3","v1775388326","1.10.1.11","0","","","","0"
