"REF_DATE","GEO","DGUID","Prices","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","108373.6","","","","1"
"1998","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","109423.5","","","","1"
"1999","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","114981.5","","","","1"
"2000","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","125347.5","","","","1"
"2001","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","127501.5","","","","1"
"2002","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","131583.4","","","","1"
"2003","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","138849.4","","","","1"
"2004","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","151108.5","","","","1"
"2005","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","162977.4","","","","1"
"2006","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","175597.8","","","","1"
"2007","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","184643.0","","","","1"
"2008","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","191673.3","","","","1"
"2009","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","183210.0","","","","1"
"2010","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","191124.3","","","","1"
"2011","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","202292.9","","","","1"
"2012","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","206717.0","","","","1"
"2013","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","214197.4","","","","1"
"2014","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","225863.5","","","","1"
"2015","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","231725.6","","","","1"
"2016","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","243317.3","","","","1"
"2017","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","260220.6","","","","1"
"2018","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","274392.6","","","","1"
"2019","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","286182.3","","","","1"
"2020","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","287202.1","","","","1"
"2021","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","330874.0","","","","1"
"2022","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","372203.6","","","","1"
"2023","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","","..","","","1"
"1997","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5432.4","","","","1"
"1998","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5660.7","","","","1"
"1999","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5421.0","","","","1"
"2000","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5262.1","","","","1"
"2001","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5190.5","","","","1"
"2002","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5448.3","","","","1"
"2003","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5477.3","","","","1"
"2004","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5907.9","","","","1"
"2005","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5775.9","","","","1"
"2006","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5639.5","","","","1"
"2007","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5525.4","","","","1"
"2008","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","4955.6","","","","1"
"2009","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","4482.4","","","","1"
"2010","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","4696.4","","","","1"
"2011","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5226.0","","","","1"
"2012","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5343.3","","","","1"
"2013","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5348.3","","","","1"
"2014","British Columbia","2021A000259","Current dollars","Agriculture, forestry, fishing and hunting [11]","Dollars","81","millions","6","v1793288227","10.1.12","5489.3","","","","1"
