REF_DATE,GEO,Prices,North American Industry Classification System (NAICS),VALUE
2009,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",116.5
2010,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",118
2011,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",110
2012,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",135
2013,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",126.5
2014,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",143
2015,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",145
2016,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",169.8
2017,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",175
2018,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",258.8
2019,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",284.1
2020,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",279
2021,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",383
2022,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",465.9
2023,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",
2024,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",
2025,"British Columbia","Current dollars","Pharmaceutical and medicine manufacturing [3254]",
2009,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",156.8
2010,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",141.5
2011,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",153.2
2012,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",164.7
2013,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",173.4
2014,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",160.1
2015,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",166.2
2016,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",165.1
2017,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",225.6
2018,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",239
2019,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",238.7
2020,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",285.4
2021,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",279
2022,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",253.5
2023,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",
2024,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",
2025,"British Columbia","Current dollars","Medical equipment and supplies manufacturing [3391]",
2009,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",130.5
2010,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",127
2011,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",114.3
2012,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",135.1
2013,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",143.9
2014,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",145.1
2015,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",146.2
2016,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",169.3
2017,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",175
2018,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",269.6
2019,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",311.1
2020,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",307.2
2021,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",405.9
2022,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",504.3
2023,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",535.3
2024,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",593.9
2025,"British Columbia","Chained (2017) dollars","Pharmaceutical and medicine manufacturing [3254]",578
2009,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",173.9
2010,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",150.3
2011,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",153.6
2012,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",168.8
2013,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",175.6
2014,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",161.7
2015,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",167
2016,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",163.6
2017,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",225.6
2018,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",235.1
2019,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",227.4
2020,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",259.9
2021,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",261.2
2022,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",234.3
2023,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",223.2
2024,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",218.8
2025,"British Columbia","Chained (2017) dollars","Medical equipment and supplies manufacturing [3391]",210.3
,"","","",
,"","","",
