indicator,unit,q2_2025_change,q3_2025_change,ytd_2025_change,source_table,notes
Employment,percent,0.6,-0.6,1.2,Table 2.1,All data seasonally adjusted
Manufacturing shipments,percent,-3.9,2.8,0.7,Table 2.1,Data to August
Exports,percent,-11.4,-0.9,-0.2,Table 2.1,Data to August
Retail sales,percent,2.6,-0.3,7.2,Table 2.1,Data to August
Consumer price index,percent,2.1,1.8,2.2,Table 2.1,Quarterly values are year-over-year
Housing starts,percent,21.5,3.2,-1.0,Table 2.1,
Residential sales units,percent,-7.4,7.2,-3.7,Table 2.1,
Residential average sale price,percent,-0.9,2.5,-3.0,Table 2.1,
Non-residential building permits,percent,-33.8,26.9,1.0,Table 2.1,Data to August
